WordHanzi,WordPinyin,TargetSyllable,TargetElement,ExistingElements,HasImage,ImageFile,Priority
餐巾纸,cān jin zhǐ,zhi,zh,c,Yes,tissue.jpg,High
餐巾纸,cān jin zhǐ,zhi,i,c,Yes,tissue.jpg,High
饭铲,fàn chǎn,fan,f,an,Yes,rice_paddle.jpg,High
饭铲,fàn chǎn,chan,ch,an,Yes,rice_paddle.jpg,High
馄饨,hún tun,hun,h,un,Yes,huntun.jpg,High
馄饨,hún tun,tun,t,un,Yes,huntun.jpg,High
马,mǎ,ma,m,a,Yes,horse.png,High
骑车,qí chē,qi,i,q,Yes,cycling.jpg,High
骑车,qí chē,che,ch,q,Yes,cycling.jpg,High
骑车,qí chē,che,e,q,Yes,cycling.jpg,High
骨头,gǔ tou,tou,t,u,Yes,bone.jpg,High
骨头,gǔ tou,tou,ou,u,Yes,bone.jpg,High
高山,gāo shān,gao,g,an,Yes,mountain.jpg,High
高山,gāo shān,gao,ao,an,Yes,mountain.jpg,High
高山,gāo shān,shan,sh,an,Yes,mountain.jpg,High
高楼,gāo lóu,gao,g,ao,Yes,building.png,High
高楼,gāo lóu,lou,l,ao,Yes,building.png,High
高楼,gāo lóu,lou,ou,ao,Yes,building.png,High
鲨鱼,shā yú,yu,y,"a, sh",Yes,shark.jpeg,High
鲨鱼,shā yú,yu,u,"a, sh",Yes,shark.jpeg,High
鸡肉卷,jī ròu juǎn,ji,j,an,Yes,chicken_wrap.jpg,High
鸡肉卷,jī ròu juǎn,ji,i,an,Yes,chicken_wrap.jpg,High
鸡肉卷,jī ròu juǎn,rou,r,an,Yes,chicken_wrap.jpg,High
鸡肉卷,jī ròu juǎn,rou,ou,an,Yes,chicken_wrap.jpg,High
鸡蛋,jī dàn,ji,j,an,Yes,eggs.jpeg,High
鸡蛋,jī dàn,ji,i,an,Yes,eggs.jpeg,High
鸭子,yā zi,ya,a,y,Yes,duck.jpg,High
鸭子,yā zi,zi,z,y,Yes,duck.jpg,High
鸭子,yā zi,zi,i,y,Yes,duck.jpg,High
鸽子,gē zi,ge,g,"e, z",Yes,pigeon.jpg,High
黄,Huáng,Huang,h,ang,Yes,yellow.jpg,High
黑色,hēi sè,se,s,ei,Yes,black.png,High
黑色,hēi sè,se,e,ei,Yes,black.png,High
鼻子,bí zi,zi,z,"b, i",Yes,nose.gif,High
龙,lóng,long,l,w,Yes,dragon.png,High
龙,lóng,long,ong,w,Yes,dragon.png,High
