Syllable,Suggested Word,Word Pinyin,HSK Level,Frequency Rank,Has Image,Image File,Concreteness,AoA,Num Syllables,Score,approved
jiao,脚,jiǎo,2,813,Yes,foot.jpg,1.63,6.7,1,-3266.42,False
jie,睫毛,jié máo,-,7109,Yes,eyelash.png,5,4.0,2,-2990.49,True
jiong,NONE,-,-,-,No,,-,-,-,-,
juan,鸡肉卷,jī ròu juǎn,6,7316,Yes,chicken_wrap.jpg,2.41,4.0,2,-2400.77,True
jue,挖掘机,wā jué jī,-,3178,Yes,digger.png,4.29,7.9,2,-2751.48,True
ka,卡片,kǎ piàn,2,889,Yes,card.png,4.32,6.4,1,-1924.21,True
kan,看,kān,1,50,Yes,see.png,2.96,4.0,1,-2728.49,False
kang,抵抗,dǐ kàng,-,1317,Yes,resist.jpg,2.78,7.6,2,-1329.77,True
keng,坑,kēng,-,-,Yes,pit.JPG,-,-,-,-,True
kou,出口,chū kǒu,1,758,Yes,exit.png,1.63,10.6,1,-3327.42,True
kua,夸奖,kuā jiǎng,6,6013,Yes,praise.png,3.07,4.0,1,-672.90,False
kuan,宽度,kuān dù,-,20617,Yes,width.png,3.64,4.0,2,-2509.44,True
kuang,矿工,kuàng gōng,-,1489,Yes,miner.jpg,4.3,7.6,1,-2221.75,True
kun,困,kùn,3,1765,Yes,sleepy.jpg,2.08,4.0,1,-1468.32,True
kuo,轮廓,lún kuò,-,16573,Yes,silhouette_1.jpg,4.57,4.0,2,-1144.84,True
lao,老人,lǎo rén,3,12085,Yes,old.png,1.43,4.0,3,-3187.99,True
lian,锻炼,duàn liàn,4,4301,Yes,exercise.jpg,2.07,4.0,2,-2771.07,True
liang,月亮,yuè liang,2,4506,Yes,moon.jpg,1.43,4.0,2,-3290.75,False
liao,知了,zhī liǎo,4,351,Yes,cicada2.jpg,2.73,4.0,2,-2441.46,True
lo,NONE,-,-,-,No,,-,-,-,-,
lou,大楼,dà lóu,1,872,Yes,building.png,2.00,3.2,1,-3216.31,False
lu,公路,gōng lù,1,1212,Yes,road.jpeg,1.43,4.0,2,-3390.78,True
luan,乱丢,luàn diū,3,928,Yes,litter.png,1.62,12.8,1,-1610.31,True
lüe,NONE,-,-,-,No,,-,-,-,-,
mai,买,mǎi,1,246,Yes,buy.gif,3.35,4.0,1,-2533.48,False
man,慢,màn,1,1042,Yes,slow.png,3.28,4.2,1,-2566.40,True
mang,帮忙,bāng máng,1,579,Yes,help2.png,2.07,4.0,2,-3071.44,True
mao,羽毛,yǔ máo,1,1372,Yes,feather.jpg,2.07,4.9,1,-3163.56,True
men,大门,dà mén,2,3493,Yes,gate.jpg,1.43,6.8,2,-3262.25,True
meng,猛扑,měng pū,-,2830,Yes,pounce.jpg,3.66,9.5,1,-1592.72,True
mi,米饭,mǐ fàn,3,1863,Yes,rice.jpg,1.96,5.2,1,-3015.61,True
mian,面条,miàn tiáo,3,833,Yes,noodles.jpg,1.43,4.3,2,-3187.42,True
miao,幼苗,yòu miáo,-,9815,Yes,seedling.jpg,4.56,7.5,2,-1230.02,True
mie,吹灭,chuī miè,6,3841,Yes,blow_out.gif,2.73,4.0,1,-843.12,True
